Company Name, Phone, Email
Minerva Meettechniek,  0334622000, info@minervaipm.com
Minkels,  0413311100, info@aegide-group.com
Mitsubishi Electric Europe,  0297250350, info@mitsubishielectric.nl
Mitutoyo Nederland,  0318534911, info@mitutoyo.nl
MKS Instruments Benelux,  0348407026, mks-germany@mksinst.com
MODELEC Data-Industrie B.V.,  0318636262, sales@modelec.nl
Molecular Devices Ltd.,  0441189448, infoboxeu@moldev.com
Molnlycke Health Care,  0765219663, peter.meijer@molnlycke.com
Moore Industries Europe Inc.,  0344617971, sales@mooreind.nl
Motek Medical,  0203013020, info@motekmedical.com
Niet beschikbaar, NaN, NaN
MT-Diagnostics Netherlands,  0765014824, info@mt-diagnostics.nl
MTT Medical Technology Transfer bv, NaN, info@mttnl.com
Mulder-Hardenberg,  0858003751, infonl@m-h.biz
Multi Instruments Analytical B.V.,  0183628888, verkoop@multi-instruments.nl
Murrelektronik BV,  0852220282, sales@murrelektronik.nl
Nanosens,  0575519751, t.hien@nanosens.nl
National Instruments Ned.,  0348433466, info.netherlands@ni.com
NBS Scientific B.V.,  036-5491010, info@nbsscientific.nl
Nedap N.V. Light Controls,  0544471807, info-specials@nedap.com
Nederlands Forensisch Instituut (NFI),  0708886666, info@nfi.minjus.nl
Nefab Bijl,  0342490147, info@nefab.nl
Network Innovations,  0402953001, info.eu@networkinv.com
New Cosmos-BIE B.V.,  0725721800, info@newcosmos-europe.com
Newport Spectra-Physics Lasers, NaN, netherlands@newport.com
Nexans Cabling Solutions,  0102483470, info.ncsnl@nexans.com
Nifa Technologies,  0582123279, info@nifa.nl
Nijkerk Electronics,  0205041424, ne@nijkerk.nl
Nipro Europe N.V.,  076-5245099, info@nipro-europe.com
Nivotherm,  0786817544, info@nivotherm.nl
Novotek,  0765871010, info.benelux@novotek.com
Nutacon B.V.,  0172506214, info@nutacon.nl
Nutek Europe,  0162578578, info@nutek-europe.com
Niet beschikbaar, NaN, NaN
Observator Instruments,  0180463422, info@observator.com
Ocean Optics,  0263190500, info@oceanoptics.com
ODS Metering Systems,  0180640911, info@odsbv.nl
Oldelft Benelux,  0318583400, info@oldelftbenelux.nl
Olympus Nederland,  0715450850, info@olympus.nl
Omnitek,  0182302990, info@omnitek.nl
Omron Electronics,  0235681100, omron-nl@eu.omron.com
Ontwerpstudio DUNC,  0715190255, sales@dunc.nl
OpenText Cooperatief UA,  0341375555, koltmans@opentext.com
Optimus Instruments bvba, NaN, info@optimus.be
Panasonic Electric Works Sales Western Europe,  0499372727, info.pewswe@eu.panasonic.com
Niet beschikbaar, NaN, NaN
Parkodex B.V.,  0582988888, info@parkodex.com
Partnertec B.V.,  0499577860, info@partnertec.nl
Paul Hartmann,  0247112000, walter.beumer@hartmann.info
PCB Connect,  0403333050, sales@pcbconnect.nl
PCS,  0786822522, info@pcs-gebouwautomatisering.nl
Pedak meettechniek,  0475497424, info@pedak.nl
Penko Engineering,  0318525630, info@penko.com
Pentax Nederland,  0885303030, info@pentaxmedical.com
Pepperl+Fuchs,  0737507107, sales@nl.pepperl-fuchs.com
Perf-IT,  0881183000, info@pro-at.nl
PerkinElmer Nederland,  0800023449, nik.boer@perkinelmer.com
PHC Europe B.V.,  0765433833, biomedical.nl@eu.phchd.com
Philips Healthcare,  0402782559, henk.valk@philips.com
Philips Lighting,  0402791111, kevin.raaijmakers@philips.com
Phoenix Contact,  0657747141, jpetersgeessink@phoenixcontact.nl
Phuntronix,  0346330050, info@phuntronix.com
PIA Service,  088 5060700, info@piaservice.nl
Pilz Nederland,  0347320477, info@pilz.nl
Pluripharm-Direct,  0725760300, info@pluripharm-direct.nl
PM Komponenten,  0314368368, info@pmkomponenten.nl
PMT Benelux N.V.,  0321665929, info@pmtbenelux.com
Poly Temp Scientific BV,  0515575105, info@polytemp.nl
Potteau-Labo,  0325636333, mail@potteau.com
Powerbox Benelux,  0765015856, info.nl@prbx.com
Prisafe International B.V., NaN, info@prisafe.nl
Priva,  0174522600, info@priva.nl
Prodek Automation Products, NaN, NaN
Niet beschikbaar, NaN, NaN
Proleit,  0887765348, info-nl@proleit.nl
Prolyse B.V., NaN, info@prolyse.nl
Promega Benelux,  0715324244, benelux@promega.com
ProSense,  0162471485, info@prosense.net
Protonic Holland,  0229212928, info@protonic.nl
PT Medical,  0594587280, mail@pt-medical.nl
Niet beschikbaar, NaN, NaN
QIAGEN Benelux,  0773208400, orders-bnl@qiagen.com
Quad Industries N.V.,  0323722030, click@quad-ind.com
Quality2Process,  0742590498, info@quality2process.com
QVM, NaN, info@qvm-lcs.nl
Radiometer Benelux BV,  0793614593, info@radiometer.nl
Raritan Europe,  0102844040, sales.europe@raritan.com
Raster Industriële Automatisering,  0487572719, info@raster.com
Ratio Electric,  0332452360, info@ratio.nl
Reditech Engineering,  0765146040, info@reditechgroup.nl
Regel Partners,  0332544848, info@regelpartners.nl
Reichle & De-Massari Netherlands,  0553681800, nld@rdm.com
Reijnen Sealing,  0594528133, info@reijnenelectronica.nl
Remtech Nederland,  0183402277, info@remtech.nl
Rena Electronica B.V.,  0765995995, info@rena.nl
Rensen Regeltechniek,  0413850110, info@rensenregeltechniek.nl
ResMed Nederland, NaN, gijs.paulissen@resmed.com
Rhosonics Analytical BV,  0341370074, f.termeulen@rhosonics.nl
Rimarck, NaN, NaN
Rittal,  0316591616, sales@rittal.nl
Roche Diagnostics Nederland,  0365394911, sissy.klazenga@roche.com
Rodax N.V.,  0323360900, info@rodax-europe.com
Rohasys,  0161240152, info@rohasys.com
Rohde & Schwarz Benelux,  0306001700, info.bnl@rohde-schwarz.com
Romal,  0302897161, info@romal.com
Romex,  0317398787, info@romex.nl
ROTEC bvba,  0321440215, tgevers@rotec.be
Rotero Holland,  0348495150, info@rotero.com
Niet beschikbaar, NaN, NaN
RS Components,  0235166555, info@rsonline.nl
Rutronik Elektronische Bauelemente GmbH,  0183646050, anita_praet@rutronik.com
S+B Rotterdam,  0102582580, info@splusb.nl
Safex Control,  0182391313, info@safex.nl
Sakura Finetek Holland,  0885920000, holland@sakura.eu
Salland Electronics bv,  0384540864, info@sallandelectronics.nl
SALM EN KIPP,  0346269090, info@salm-en-kipp.nl
SAMSON REGELTECHNIEK, NaN, info@samson-regeltechniek.nl
Sanbio,  0413251115, sanbio@sanbio.nl
Sarstedt,  0765017550, info.nl@sarstedt.com
Sartorius Netherlands,  0306025030, office.nl@sartorius.com
SATRON Instruments Nederland, NaN, info@satron.nl
Sauter Building Control Nederland,  0205876700, wietse.hut@sauter.nl
Scala Scientific B.V., NaN, info@scala-scientific.nl
Schaefer Ausstattungs-Systeme GMBH,  0490622479, info@ws-schaefer.de
Schaper Benelux Bandages & Braces, NaN, ronald@schaper-benelux.com
Schleifenbauer Products,  0735230256, info@schleifenbauer.eu
Schneider Electric Systems  Netherlands NV,  0235124124, support@schneider-electric.com
Schneider Electric The Netherlands,  0235124124, jan-willem.den-braber@nl.schneider-electric.com
Scholten Medische Groep,  0345648181, verkoop@scholten-medisch.nl
SCHURTER Electronics B.V.,  0523281226, aniek.vanvelzen@schurter.nl
SCIEX, NaN, benelux.orders@sciex.com
Niet beschikbaar, NaN, NaN
Sensor Partners,  0416378239, info@sensor.nl
Sentron Europe,  0505013800, info@sentron.nl
Separations Analytical Instruments,  0786820500, info@separations.nl
Shimadzu Benelux,  0736430320, info@shimadzu.nl
Sick,  0302044000, info@sick.nl
Siemens Healthcare Nederland,  0703332955, info@siemens.com
Siemens Industry Software,  0736802500, info.benelux.plm@siemens.com
Siemens Nederland N.V.,  0655844953, jeroen.penrisl@siemens.com
Sigma-Aldrich Chemie,  0786205411, nldcustsv@sial.com
Simac Electronics,  0416387700, info@simacelectronics.nl
Simac Techniek N.V.,  0402582911, info@simac.nl
Sintec,  0365480101, info@sintec.nl
Sintecs,  0742555713, hans.klos@sintecs.nl
Sirtex Medical Europe GmbH,  0490228184, mvente@sirtex-europe.com
Skalar Analytical,  0765486486, info@skalar.com
Skills Meducation,  0356461200, info@skills-meducation.com
Skytron Europe,  0384554050, sales@skytroneurope.com
Small Processor Systems,  0495745090, spsys@spsys.nl
Smans N.V.,  0322144244, info@smans.com
Smartec,  0765205353, info@smartec.nl
SMD-TEC,  0321643674, info@smd-tec.be
Smith & Nephew Nederland,  0206543999, holland.info@smithnephew.nl
Smiths Medical Nederland,  0735285050, nederland@smiths-medical.com
Snijders Labs,  0137501555, info@snijderslabs.com
Socomec B.V., NaN, NaN
Sommen B.V.,  0135199213, info@sommen.nl
Sopachem,  0344655150, info.nl@sopachem.com
Sorgente,  0306346271, info@sorgente.nl
SpringMedical,  0553560544, info@springmedical.nl
STbenelux B.V.,  0348748855, paul.langbein@stbenelux.com
Steendam LFS,  0384215522, provers@steendam.nl
Stekon,  0884224440, info@stekon.nl
Steritec,  0107537221, info@steritec.nl
Stichting TI-COAST,  0205258398, info@ti-coast.com
Stimag B.V., NaN, info@stimag.nl
Stöpler Medical B.V.,  0302644911, stopler@simed.com
Störk-Tronic NL,  0103132300, nl@stoerk-tronic.com
Strukton Worksphere,  0346588888, raymond.vandentempel@strukton.com
Stulz Groep,  0205451111, c.brouwer@stulz.nl
Swagelok Nederland,  0182624060, info@swagelok.nl
Synchron Instrumenten,  0768200284, info@synchronlab.com
Synspec,  0505266454, info@synspec.nl
Syrinx Industrial Electronics,  0229562100, info@syrinx.nl
Sysmex Nederland,  0765086000, info@sysmex.nl
Systeme Helmholz Benelux,  0854010710, info@helmholz-benelux.eu
TA Control Systems (TACS),  0786521235, info@tacontrol.nl
Tasseron Sensors & Controls,  0153104000, info@tasseron.nl
tbp electronics,  0187602744, info@tbp.nl
TE Connectivity Nederland,  0736246246, info@te.com
Tecan BeneluxBA,  0183448174, tecan-nl@tecan.com
Techmation B.V.,  0183500331, h.versluis@techmation.nl
Technex b.v., NaN, info@technex.nl
Technische Unie, 3161141766, b.schats@bi-smart.nl
Technische Unie,  020-5450345, info@technischeunie.com
Technoglas laboratoriumapparatuur BV,  0252210637, info@technoglas.nl
Teesing B.V.,  0135287225, info@a-b-t.nl
Telerex Nederland,  0765782000, info@telerex-europe.com
TEMPCO B.V.,  0172493141, info@tempco-sensors.nl
Tempcontrol Industrial Electronic Products B.V.,  0152511831, info@tempcontrol.nl
Terumo Europe N.V.,  0321639258, info@terumo-europe.com
Teruplast,  0332983314, info@teruplast.nl
Testo BV,  0365487000, info@testo.nl
Texim Europe,  0535733333, info@texim-europe.com
Thal Technologies,  0362026060, adm@thal-technologies.com
Thermo Electra Temperature Sensor Solutions B.V.,  0153621200, verkoop@thermo.nl
Thermo Electric Instrumentation,  0857607300, info@te-instrumentation.com
Thermo Fisher Scientific,  0765795555, info_nl@thermo.com
TMC Software, NaN, NaN
Tokyo Keiso Europe,  0344601157, info@tokyokeiso-europe.com
Tooltronics,  0882916655, peter.oelen@tooltronics.nl
TOP-electronics,  0180580492, petra@TOP-electronics.com
Total Care,  0135313535, info@totalcaregroep.nl
TPF Control,  0857500110, info@tpf-control.nl
Tradinco Instrument-Apparaten,  0792033133, info@tradinco.com
Transonic Europe B.V.,  0434077200, tamara.theunissen@transonic.com
Trescal,  0793430000, info@trescal.nl
Tritec Benelux,  0184414131, info@tritec.nl
Tritium Microbiologie,  0402051615, mail@tritium-microbiologie.nl
Tromp Medical BV,  0251662066, salessupport@trompmedical.com
TSH Benelux,  0102457701, info@tshbenelux.nl
TT&MS,  0252621080, info@ttms.nl
TTI Inc.,  040-2901616, ronald.vandenheuvel@nl.ttiinc.com
Tucana Telecom,  0765794111, info@tucana.com
Turck,  0384227750, info@turck.nl
Tuttnauer Europe,  0765423510, info@tuttnauer.nl
TÜV Rheinland Nederland,  0594505005, info@nl.tuv.com
Twentse Electronica GroothandelTEG,  0534300560, info@teg-bv.nl
Niet beschikbaar, NaN, NaN
U-F-M b.v., NaN, info@u-f-m.nl
Unica Building Automation,  0332478080, info@unica.nl
United Care Products,  0503050900, info@unitedcare.nl
V en M,  0555996363, m.hagen@venm.nl
V-PS,  0492386880, sales@v-ps.com
VAF Instruments,  0786183100, sales@vaf.nl
Niet beschikbaar, NaN, NaN
Valmet Automation B.V., NaN, NaN
Value Procurement Centre B.V.,  0557901168, marc@procurementcentre.nl
Van Galen Klimaattechniek,  0104878800, rotterdam@vangalen.com
Van Mierlo Ingenieursbureau,  0402969999, vanmierlo@vanmierlo.com
Van Tol Laboratoriumtechniek,  0418662265, info@vantollabtech.nl
Van Vliet Medical Supply,  0365472150, info@vanvlietmedical.nl
Vandeputte Medical,  0306005050, info.nl@vdpmedical.com
VBGL Scientific B.V., NaN, NaN
VCM Medical V.O.F., NaN, info@vcmmedical.nl
VDW CoolSystems,  0345582546, info@vdwcoolsystems.nl
Vedotec,  0888336800, info@vedotec.nl
VEGA,  0334502502, info@nl.vega.com
Veolia Water Technologies Netherlands,  0318691500, info@veoliawaterst.nl
VERDER Scientific Benelux,  0323870965, info@verder-scientific.be
Verkerk Elektrotechniek,  0786107700, info@verkerk.com
Vertiv Benelux B.V.,  0765781600, info@emersonnetworkpower.com
Verum Software Tools BV,  0402359090, info@verum.com
Vierpool,  0346594511, info@vierpool.nl
VitalAire Nederland,  0402503502, info@vitalaire.nl
VIVISOL Nederland B.V.,  0135231020, info@vivisol.nl
von Rohr ARCA b.v.,  0313654000, info@vonrohr-arca.nl
Vonk,  0880330300, info@vonkbv.com
Vonmarcken,  0348752152, info@vonmarcken.nl
Vos Instrumenten,  0418575080, info@vosinstrumenten.nl
VWR International,  0204808400, info@nl.vwr.com
W&S Benelux,  0162521677, info@wsbenelux.nl
WAGO Nederland,  0553683500, info-nl@wago.com
Waldmann BV,  0344631019, h.vangeresteyn@waldmann.com
Waters Chromatography, NaN, waters_nederland@waters.com
Watson-Marlow,  0104621688, info@watson-marlow.nl
Webeasy, NaN, info@webeasy.nl
WEETECH,  0416690808, info@weetech.nl
Weidmüller Benelux,  0356261261, info@weidmuller.nl
Weiss Technik Nederland,  0344670400, info@weisstechnik.nl
Welland Nederland B.V.,  0886670066, info@welland.nl
wenglor sensortechniek b.v.,  0341423064, info.nl@wenglor.com
Niet beschikbaar, NaN, NaN
Westburg,  0334950094, info@westburg.eu
Western Airconditioning,  0332477800, info@western.nl
Westfalen Medical,  0570636745, info@westfalenmedical.nl
Wibu Systems,  0747501495, sales@wibu-systems.nl
WIKA Benelux,  0475535500, info.nl@wika.com
Wilten Instrumenten, NaN, info@wilten.nl
Wireless Value,  0591633200, info@wirelessvalue.nl
Niet beschikbaar, NaN, NaN
Wonderware Benelux B.V.,  0765794100, info@wonderware-benelux.com
Würth Elektronik Nederland,  0736291911, eiSos-netherlands@we-online.com
Xensor Integration,  0152578040, info@xensor.nl
Xilloc Medical,  0433881881, m.beerens@xilloc.com
XiltriX International,  073-5212229, info@xiltrix.com
XTAC Analytical,  0715317874, info@xtac.nl
Yellax Nederland B.V.,  0306880023, t.klaassen@yellax.com
Ymif Engineering,  0703292567, info@ymif.nl
Yokogawa Europe Solutions,  0884641000, info@nl.yokogawa.com
Zeiss,  0184433400, info@zeiss.nl
Zematra,  0164687770, info@zematra.com
Zilvertron B.V.,  0182305045, info@zilvertron.com
Zirbus Technology Benelux,  0344632816, info@zirbus.nl
ZOLL International Holding,  0481366410, info@zoll.nl
[e]Parts Electro Componenten,  0356033940, info@eparts.nl
